,Source,Time Stamp,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score
117,CBSNews,Wed Aug 01 18:31:01 +0000 2018,Among the thousands of firearms discovered at airport security checkpoints around the country in the past two years… https://t.co/jTmsp5JaTB,0.34,0.118,0.882,0.0
118,CBSNews,Wed Aug 01 18:16:14 +0000 2018,Remains of what are believed to be U.S. soldiers who were killed in the Korean War were repatriated Wednesday durin… https://t.co/KyvGrXW8LY,-0.8555,0.0,0.693,0.307
119,CBSNews,Wed Aug 01 18:08:09 +0000 2018,"""It's not weak for the president of the United States to state his opinion,"" Sanders says. https://t.co/rdmNemzTTd https://t.co/mrKeQlo8vs",0.6377,0.245,0.755,0.0
120,CBSNews,Wed Aug 01 18:04:09 +0000 2018,"RT @CBSThisMorning: WATCH: Passenger video shows the moment an Aeroméxico flight carrying 99 passengers, crashed shortly after taking off i…",0.0,0.0,1.0,0.0
121,CBSNews,Wed Aug 01 18:02:08 +0000 2018,"Q: Does the president think there are too many refugees coming into this country? 

Sanders: The president wants to… https://t.co/uYLnyHICb0",0.0,0.0,1.0,0.0
122,CBSNews,Wed Aug 01 18:01:00 +0000 2018,"Hillary Clinton to executive produce TV adaptation of ""The Woman’s Hour"" https://t.co/uTMjSWpXEB https://t.co/RXzftPyn1G",0.0,0.0,1.0,0.0
123,CBSNews,Wed Aug 01 17:55:27 +0000 2018,"""Even if there are 10 people voting illegally it shouldn't happen,"" Sanders said. ""The president wants to see the i… https://t.co/IgfsbIrCRg",0.0,0.0,1.0,0.0
124,CBSNews,Wed Aug 01 17:52:27 +0000 2018,Q: Do you agree with that sentiment expressed by Sen. Thune that this investigation by Mr. Mueller ought to be comp… https://t.co/kQCu0b6g98,0.3612,0.106,0.894,0.0
125,CBSNews,Wed Aug 01 17:45:22 +0000 2018,"Sanders on @POTUS' tweet to end Russia probe: ""It's not an order, it's the president's opinion...but he also wants… https://t.co/46dnXmFHSg",0.0,0.0,1.0,0.0
126,CBSNews,Wed Aug 01 17:41:13 +0000 2018,"Sarah Sanders announces sanctions for two Turkish government officials, who played ""leading roles"" in the arrest an… https://t.co/3BoCjLbqVk",0.0,0.115,0.769,0.115
127,CBSNews,Wed Aug 01 17:37:13 +0000 2018,Sanders says the White House and FEMA have been actively monitoring the wildfires in the West to ensure that federa… https://t.co/yJX1fUVMf8,0.5994,0.205,0.795,0.0
128,CBSNews,Wed Aug 01 17:35:12 +0000 2018,WATCH NOW: White House Press Secretary Sarah Sanders holds briefing hours after President Trump's tweet saying the… https://t.co/ln3LTwdrhu,0.0,0.0,1.0,0.0
129,CBSNews,Wed Aug 01 17:30:39 +0000 2018,Special counsel Robert Mueller has referred to New York prosecutors cases concerning American lobbyists who alleged… https://t.co/wivIkcFOJ5,0.4019,0.144,0.856,0.0
130,CBSNews,Wed Aug 01 17:30:10 +0000 2018,"COP VS. TOT: This one-year-old was pulled over while driving his little red convertible, proving no one is too youn… https://t.co/PKMO9UdmFS",-0.296,0.0,0.901,0.099
131,CBSNews,Wed Aug 01 17:14:40 +0000 2018,"A group of self-proclaimed ""grannies"" is traveling 2,000 miles across the U.S. to the border with Mexico to protest… https://t.co/0JESgiRVEI",0.0,0.0,1.0,0.0
132,CBSNews,Wed Aug 01 16:59:53 +0000 2018,Tesla earnings: What to expect from the second quarter results https://t.co/SQxTqsHC8e https://t.co/hfEpUZHXPx,0.0,0.0,1.0,0.0
133,CBSNews,Wed Aug 01 16:44:44 +0000 2018,Fugitive extradited back to Arizona in border agent's 2010 slaying https://t.co/FJ6KtVm0qj https://t.co/4jHLJBiRJp,0.0,0.0,1.0,0.0
